,ID,mol_distribution,monomers,sequence
246633,000000004825660_00001,[0.15059935 0.1211928  0.33077557 0.21742137 0.13755033 0.04246057],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Tmb'],TmaTmaMoAegMepMoMoMepAegMoMoMepTmaAegMoNiMepAegAegAegMoTmaMoMoNiTmaMoMepAegTmaTmbMoMoTmaMoMepMepMepTmaMoMepTmbMoTmbMoNiNiMepNiMoNiNiMoAegMoMepMepMepNiMoMoMoMepTmaTmaMepNiNiTmaMo
251576,000000004885513_00001,[0.1987537  0.08530366 0.34923321 0.11477686 0.0726129  0.17931967],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Tmb'],TmaAegMoTmbNiMepMepTmbTmaMoMoMepTmbMoTmaMepAegMoTmaMoTmbNiTmaMoTmbMoTmbMoMoTmaTmbMepTmbTmbMoNiTmbNiTmaTmbMoMepAegAegMoTmaMoMoTmbMoMepMepAegMoMoNiMoTmaMoTmaTmaMoTmaAegTmbTmaMoTmaMoMo
257700,000000003211267_00001,[0.25883253 0.07934933 0.27071349 0.05338263 0.33772202],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],NiTmaTmaNiMoAegMoTmaNiTmaNiMoMoNiNiNiMoMoTmaMoNiAegTmaNiNiTmaMoMepNiAegNiAegNiMoMoNiMoNiNiTmaNiMoTmaMoNiTmaTmaTmaAegNiMoTmaNiTmaMoMoTmaMoTmaTmaMoTmaMepNiMepNiMepNiMoNi
267564,000000003714210_00001,[0.14625242 0.07846311 0.588918   0.05278642 0.13358005],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],MoMoTmaMepNiMoMoMoAegTmaTmaMoTmaMoMoMoMoMoMoMoMoMoMoMoMoMoMoMoMepMoMoMoMoNiMoAegMoMoNiMepTmaNiMoAegMoNiNiMoMoTmaMoMoTmaMepTmaNiMoAegAegMoTmaMoMoTmaNiMoNiAegMoMo
269854,000000003808047_00001,[0.5004638  0.08949812 0.06106755 0.12042053 0.22855   ],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],NiTmaAegNiMoTmaTmaMoTmaTmaTmaAegNiMoTmaMepMepAegNiMepTmaTmaAegTmaTmaAegTmaNiNiNiTmaMepTmaTmaTmaNiTmaTmaTmaNiTmaTmaTmaTmaTmaTmaTmaMepTmaTmaNiMepTmaMepTmaNiNiAegNiTmaNiMoNiTmaTmaNiMepTmaTmaMep
272104,000000003907927_00001,[0.21804656 0.03899334 0.37249041 0.1049318  0.2655379 ],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],NiAegMoNiMoNiMepMoTmaAegNiNiNiMepMoMoTmaTmaMepMoMoMoMoNiMoTmaNiTmaTmaMepTmaMoMoTmaMoMoMoNiMoMoNiTmaTmaMoNiMepMoNiNiNiAegMoNiTmaMoNiNiMoMepTmaTmaNiMoMoNiTmaMepTmaMoMo
276974,000000004108397_00001,[0.31015327 0.08319723 0.17030473 0.22388526 0.21245951],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],TmaMepMepTmaTmaMepNiNiMoAegTmaNiMepNiNiMoNiNiNiTmaMepMepMoTmaMoTmaAegAegTmaNiAegTmaNiTmaMoMoMepMoTmaTmaMepTmaMoMoTmaMepNiNiMepAegNiTmaTmaMepMepNiMepMepMoTmaTmaTmaNiMoTmaMepMoAegTmaTma
277590,000000004137186_00001,[0.10678263 0.0763839  0.36483497 0.25693808 0.19506042],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],TmaMoMoMoNiNiMepMepMoMoNiMoMepTmaMepMoNiMoTmaMepNiTmaMoNiNiMepTmaMoMepNiMepMepNiMepMoMepMoMoMoAegMoMoAegTmaNiMoMoMepNiNiMepMepAegMepMoMoMepMoMoMepMoAegMoNiTmaAegMoMepNiMo
282987,000000004356402_00001,[0.43004459 0.04194819 0.11449061 0.05644168 0.35707493],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],NiTmaNiNiNiNiTmaNiTmaMoTmaNiTmaMoMepNiTmaNiTmaTmaTmaAegTmaTmaNiTmaNiNiMoNiNiTmaTmaTmaTmaNiNiMoTmaTmaTmaTmaMepNiTmaTmaNiTmaMoNiNiTmaMepMepTmaNiTmaNiMoNiAegMoTmaTmaTmaNiTmaAegMoNi
286698,000000004517457_00001,[0.20742787 0.0370944  0.05062149 0.1996434  0.50521284],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],TmaNiNiTmaNiTmaMepMepMepNiNiNiTmaNiNiTmaTmaMepNiNiMoNiMepMepNiNiMepTmaNiNiMepMepMoNiMoNiNiNiMepNiAegNiTmaAegNiNiTmaNiTmaNiNiNiTmaMepNiNiNiNiTmaNiMoMepMepNiMepNiTmaAegTmaNi
288518,000000004589254_00001,[0.26587753 0.04075455 0.44493099 0.10967123 0.1387657 ],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],NiMoNiMoMoMoNiMoTmaTmaMoMoMoMoMoMoNiMepNiMoMepTmaTmaTmaMoMoMoTmaMoTmaTmaMepMepNiMoTmaTmaMoNiMepTmaAegTmaMoTmaMoTmaTmaTmaMepMoMepMoMoMoTmaMoMepTmaNiMoAegMoMoAegNiNiMoMoMo
288826,000000004601572_00001,[0.35445487 0.08451638 0.28834174 0.05685878 0.21582823],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],MoTmaTmaAegAegTmaTmaTmaNiTmaMepNiMoTmaNiMoMoTmaNiNiTmaNiAegMepNiTmaTmaTmaNiTmaNiTmaMoTmaMoTmaMoMoMoMoNiTmaAegMoTmaNiTmaNiTmaMoAegMoNiMoMoNiMoTmaTmaNiAegMoTmaMoMepTmaTmaMepMoMo
288992,000000004607354_00001,[0.52508806 0.18780336 0.06407225 0.06317279 0.15986355],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],TmaTmaTmaTmaTmaTmaTmaNiNiTmaTmaAegTmaNiAegTmaNiTmaMoTmaMoAegTmaMepAegTmaTmaTmaTmaMoTmaMoTmaTmaAegTmaNiTmaAegNiNiTmaAegTmaAegTmaTmaAegTmaAegTmaNiTmaAegNiTmaAegTmaMepMepMepTmaTmaTmaNiTmaNiAegTmaMo
294562,000000004839926_00001,[0.33520607 0.03996335 0.1090733  0.10754209 0.40821519],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni'],NiTmaNiTmaNiNiTmaTmaMepNiMepTmaNiNiTmaTmaMoMepNiNiTmaTmaMoNiNiNiNiNiNiNiNiMepMoNiAegMepNiAegNiTmaTmaNiNiNiTmaMoMepTmaNiTmaMoTmaTmaNiAegTmaTmaNiTmaTmaMepMoTmaNiTmaTmaMoMoNiNi
296990,000000006911850_00001,"[0.07567447 0.04059867 0.55403658 0.10925177 0.12801573 0.04975087
 0.04267191]",['Tma' 'Aeg' 'Mo' 'Mep' 'Oct' 'Bmam' 'Tmb'],TmaTmaMoTmaMoOctMoMoMoOctMoMoOctMoTmbMoMoTmbMoMoMoMoMepBmamBmamMoMoTmaMepMoMepMoOctAegMoMoMoMoMoMoTmbMoMoOctMoMoMoMoMoOctMoAegMoMepOctMepMoMepMoOctBmamMoMoMepAegMoMoTmaOctMep
299888,000000006925947_00001,"[0.15282667 0.04099507 0.55944606 0.11031848 0.04308855 0.05023663
 0.04308855]",['Tma' 'Aeg' 'Mo' 'Mep' 'Oct' 'Bmam' 'Tmb'],TmaOctMepMoTmaTmaMoMoMoMoMoTmaMepOctMoMoMoMoMoMoMoMepMoTmaBmamTmaMoTmaMoMoTmbMepMoMoMoMoMoMoTmaBmamMoMoMoMoTmaMoAegMoMoTmaBmamOctMoMepMoMepMoTmbMoMoMoMepMoTmaTmbMoAegAegMoMep
345332,000000006806756_00001,"[0.1618207  0.04340768 0.4738961  0.11681085 0.04562436 0.05205409
 0.10638622]",['Tma' 'Aeg' 'Mo' 'Mep' 'Oct' 'Olam' 'Bmam'],TmaTmaMoMoMoTmaMoMoMoAegOlamMoMoBmamMoBmamMoMepMoTmaTmaMoMoMoMepMepOlamTmaMoBmamBmamMepMoTmaMepOctAegMepTmaMoMoTmaMoMoMoMoTmaBmamOctTmaMepMoBmamMoMoOlamBmamMoMoMepMoOctMoMoMoBmamMoAegOlamMo
383795,000000006457474_00001,[0.17159087 0.13808545 0.12562708 0.43352221 0.048379   0.0827954 ],['Tma' 'Aeg' 'Mo' 'Mep' 'Oct' 'Olam'],TmaMepMepTmaOlamMepAegMepMepOlamMepTmaOlamMoMoAegAegOctTmaTmaMoMepTmaAegMepAegMepMepOlamMoMepMepAegMepTmaAegMepMepAegOctMepMepAegMepMoMepTmaMepMepMepMepMepOlamMepAegMepTmaMepMepTmaOctOlamTmaMepMoTmaMoMoMepMo
385187,000000006473344_00001,[0.2720703  0.1946177  0.13279415 0.2618599  0.05113904 0.08751891],['Tma' 'Aeg' 'Mo' 'Mep' 'Oct' 'Olam'],TmaAegTmaTmaOctMoTmaTmaAegAegMoAegMepAegTmaMepMoTmaAegTmaOlamOctAegTmaOlamTmaMepAegMepAegMoTmaOctTmaMepMoTmaMepTmaTmaTmaMepMepMepOlamTmaMepMoOlamMepMepTmaOlamAegAegMepMepMepMepMoMepAegMoTmaMoOlamAegMepAegOct
393778,000000006883838_00001,[0.32590849 0.04995628 0.20452102 0.06721663 0.2625369  0.08986067],['Tma' 'Aeg' 'Mo' 'Mep' 'Oct' 'Olam'],TmaMoOctMoAegOctTmaTmaOlamOctTmaMoOctMoTmaOctMoTmaAegOctMoOlamAegOctTmaMoOctTmaOctMoMepOctTmaOlamTmaOctMoMepTmaMepAegTmaMoOlamTmaTmaOctOctTmaMepMoTmaOctTmaMepTmaMoTmaOctOctOctMoTmaOctMoOlamTmaTmaOlamTma
443151,000000004359776_00001,[0.58650948 0.04840878 0.19818556 0.06513446 0.10176171],['Tma' 'Aeg' 'Mo' 'Mep' 'Oct'],MoTmaAegTmaMepAegTmaOctMoTmaMoOctMoMoTmaTmaOctTmaMoMepTmaTmaTmaMoMoTmaTmaTmaMepTmaTmaTmaTmaTmaTmaMoTmaTmaTmaTmaAegTmaMoTmaTmaOctTmaTmaOctTmaMoTmaOctTmaTmaTmaTmaMoMoTmaMepTmaTmaTmaTmaOctTmaMoTmaMep
447986,000000005028387_00001,[0.42485824 0.04558653 0.31105209 0.12267418 0.09582896],['Tma' 'Aeg' 'Mo' 'Mep' 'Oct'],TmaTmaMepAegTmaMoOctOctMoTmaMoMepMoMoMoOctMoTmaOctMepMoAegTmaTmaMoMoTmaMoTmaMepMepAegTmaMoMoTmaTmaTmaTmaTmaTmaMepMoTmaTmaTmaTmaTmaTmaOctMoTmaMoMoMoTmaTmaTmaTmaMoTmaMepTmaTmaMoMoMepOctMoOct
465483,000000006965752_00001,[0.6451385  0.04944443 0.13495034 0.06652794 0.10393879],['Tma' 'Aeg' 'Mo' 'Mep' 'Oct'],TmaOctTmaTmaTmaTmaTmaAegTmaMoAegOctOctTmaMepAegMoTmaTmaTmaOctTmaTmaMepTmaTmaTmaTmaTmaTmaTmaTmaTmaMoMoMepTmaOctTmaTmaTmaMepMoTmaMepTmaTmaTmaMoTmaTmaTmaTmaOctTmaTmaTmaTmaTmaTmaMoTmaAegMoOctTmaTmaTmaTmaMo
486373,000000005658407_00001,[0.11772156 0.04210437 0.11491687 0.62317002 0.05049118 0.051596  ],['Tma' 'Aeg' 'Mo' 'Mep' 'Olam' 'Bmam'],TmaBmamMepMepTmaMepMepMepMepMepMepMepMoMepMepMepMepMepMoMepBmamMepOlamMepMepMepMepOlamMoMepMepMepAegMepMepMepMepMepMepMepOlamTmaMepTmaMepMepTmaMepMepMepMoMepMoMepMoMepBmamMepMepAegMepTmaMepMoTmaBmamMepAegTmaMo
487814,000000005673245_00001,[0.08061302 0.17299266 0.47215464 0.1163816  0.0518628  0.10599528],['Tma' 'Aeg' 'Mo' 'Mep' 'Olam' 'Bmam'],TmaMoMoMoOlamMoBmamAegBmamMepTmaMoMoMoMoMoMoMoMoMoAegMoMoBmamOlamAegMoMoBmamAegTmaMepMepMoBmamTmaMoAegAegMoMepMoTmaOlamMoMoMoAegMoMoMoMoAegAegMoMoMepOlamBmamMoMepTmaMepAegBmamAegMoMoMepAeg
488649,000000005681490_00001,[0.12278297 0.17565858 0.29964427 0.29543778 0.05266204 0.05381436],['Tma' 'Aeg' 'Mo' 'Mep' 'Olam' 'Bmam'],TmaAegMoMoAegBmamMoMepMoMoAegMepAegMepTmaMepMoBmamAegMoAegTmaMoMoMepMoMoMepMepAegMoBmamOlamMoMepBmamMepMepMepMepMoMepMoMepMepAegAegTmaTmaAegMoTmaMoMepMepMepTmaAegMepMoMepMoOlamMoMepAegTmaOlamMoOlam
547162,000000003259586_00001,[0.21819253 0.18729334 0.44728773 0.06300123 0.08422517],['Tma' 'Aeg' 'Mo' 'Mep' 'Olam'],TmaAegMoMoMoMepMoOlamMoTmaMoTmaMoAegMoOlamTmaAegMoTmaMoTmaMoMoMoMoTmaMoTmaAegMoTmaAegTmaMoMepMoMoOlamMoAegOlamMoMoTmaTmaTmaAegAegAegMoMoMepMoTmaAegOlamMoMepMoMoMoTmaAegOlamMepMoMoAegAeg
548495,000000003356813_00001,[0.37343497 0.10017226 0.13670175 0.26956538 0.12012565],['Tma' 'Aeg' 'Mo' 'Mep' 'Olam'],TmaTmaOlamMepMoMepOlamMoMepAegAegMepOlamTmaMepAegTmaMepMepTmaTmaMepMepTmaTmaTmaTmaTmaMoMepAegTmaTmaMepTmaMepOlamAegMepAegMoTmaOlamMepOlamTmaMepTmaMoOlamMepTmaTmaMoTmaTmaMoTmaAegTmaMepOlamMepMepMoMoMoTmaTmaTma
566830,000000005686792_00001,[0.27867628 0.09967155 0.20402768 0.26821797 0.14940651],['Tma' 'Aeg' 'Mo' 'Mep' 'Olam'],MoTmaTmaMepTmaTmaAegOlamMoMepMoMepTmaOlamMoTmaMepTmaMoTmaMepTmaMepAegTmaAegTmaMoMoTmaTmaOlamTmaTmaMoMepMepMoMepOlamAegMepOlamAegMepMepMoMepOlamTmaTmaTmaMepAegOlamMepOlamAegMepMepMepTmaOlamMoMoTmaOlamMepMoMo
3192,000000002711707_00001,[0.46580231 0.09087228 0.30567371 0.13765171],['Tma' 'Aeg' 'Mep' 'Bam'],TmaMepTmaTmaTmaTmaAegTmaAegMepMepTmaTmaBamTmaBamMepTmaTmaMepMepTmaMepMepMepBamAegTmaTmaTmaBamTmaAegBamMepBamTmaAegMepTmaBamMepMepTmaTmaTmaTmaBamTmaTmaTmaMepTmaMepTmaTmaMepTmaTmaTmaBamMepMepTmaMepAegMepMepTmaBam
3221,000000002712373_00001,[0.61797135 0.0473623  0.19117922 0.14348714],['Tma' 'Aeg' 'Mep' 'Bam'],TmaTmaTmaTmaTmaBamMepBamTmaMepTmaAegTmaTmaTmaTmaBamBamTmaTmaTmaTmaBamTmaMepTmaTmaBamTmaMepTmaTmaBamMepMepTmaMepTmaTmaTmaMepTmaAegTmaTmaTmaTmaTmaBamBamTmaTmaTmaTmaTmaTmaTmaMepMepTmaTmaMepAegTmaTmaMepBamMepMepTma
6458,000000002991431_00001,[0.62317294 0.09552191 0.0642628  0.21704234],['Tma' 'Aeg' 'Mep' 'Bam'],TmaBamBamAegBamBamTmaTmaTmaTmaTmaTmaTmaTmaTmaBamTmaMepTmaTmaTmaTmaTmaTmaTmaTmaAegBamBamTmaTmaBamMepTmaTmaMepAegTmaTmaBamTmaTmaTmaBamTmaBamTmaTmaTmaTmaTmaAegBamAegAegTmaTmaTmaTmaAegTmaMepTmaBamTmaBamTmaTmaTmaBam
8218,000000003111855_00001,[0.57198788 0.09442042 0.19056532 0.14302638],['Tma' 'Aeg' 'Mep' 'Bam'],TmaTmaBamTmaTmaTmaMepMepTmaTmaTmaTmaTmaTmaMepMepMepBamTmaAegMepBamTmaTmaMepTmaTmaAegAegTmaBamTmaTmaMepBamTmaTmaAegTmaBamTmaMepBamTmaMepTmaTmaTmaTmaAegTmaTmaTmaMepTmaMepMepBamTmaBamAegTmaTmaTmaTmaTmaTmaAegTmaBam
45544,000000003622245_00001,[0.5502297  0.19679554 0.1323951  0.12057967],['Tma' 'Aeg' 'Mep' 'Bmam'],TmaTmaTmaBmamAegMepTmaAegTmaAegTmaTmaBmamTmaTmaMepTmaMepTmaTmaTmaTmaTmaTmaAegTmaAegTmaMepTmaMepTmaAegTmaTmaTmaAegAegAegAegAegBmamBmamAegTmaTmaTmaAegTmaAegTmaTmaTmaTmaMepTmaTmaTmaTmaTmaBmamMepTmaTmaMepMepBmamTmaBmamBmam
50643,000000006544038_00001,[0.58168931 0.04801094 0.19379748 0.17650227],['Tma' 'Aeg' 'Mep' 'Bmam'],TmaTmaTmaBmamTmaTmaMepTmaBmamTmaTmaTmaTmaTmaBmamMepMepMepAegBmamTmaTmaMepMepTmaTmaTmaTmaTmaTmaMepTmaBmamAegTmaMepTmaBmamTmaMepTmaBmamTmaBmamTmaMepBmamTmaBmamTmaTmaTmaBmamTmaTmaTmaTmaTmaTmaTmaTmaAegMepMepMepTmaBmamTmaTmaMep
52818,000000002983248_00001,[0.12142069 0.13028223 0.29215988 0.13978764 0.26313227 0.05321729],['Tma' 'Aeg' 'Mep' 'Do' 'Bam' 'Bmam'],TmaMepBamMepMepAegDoMepMepBamDoTmaBamBamTmaBamDoMepAegBamDoBamBamDoTmaBamMepMepBmamMepMepAegMepDoDoTmaBamBamAegMepBamDoAegAegDoTmaBamAegAegMepTmaMepBmamMepBamBmamBamBmamMepMepMepBamTmaTmaMepAegBamMepBamDo
57602,000000002961201_00001,[0.08083575 0.04336766 0.46681262 0.06979765 0.06569255 0.27349377],['Tma' 'Aeg' 'Mep' 'Do' 'Bam' 'Oct'],TmaAegDoOctOctBamMepOctMepOctMepMepOctMepMepDoMepOctTmaMepOctMepMepOctMepMepMepMepMepOctMepMepMepOctMepDoMepMepTmaBamOctAegOctTmaOctOctMepTmaOctMepBamMepMepMepMepMepMepMepDoMepBamOctDoAegTmaOctMepOctOctMep
117741,000000003003343_00001,[0.12645197 0.0904538  0.60853207 0.07278999 0.04753648 0.05423568],['Tma' 'Aeg' 'Mep' 'Do' 'Oct' 'Olam'],TmaMepMepTmaTmaOlamMepMepMepOctMepMepMepOlamMepMepDoMepTmaMepOctDoMepMepAegMepTmaMepMepMepDoTmaMepOlamMepMepOlamMepAegMepMepDoOctMepAegAegMepMepAegAegMepMepMepMepTmaMepMepMepMepMepDoMepMepMepMepMepMepTmaMepTma
131593,000000002966021_00001,[0.37999198 0.05096557 0.13714929 0.16405209 0.26784106],['Tma' 'Aeg' 'Mep' 'Do' 'Oct'],TmaTmaTmaMepOctTmaTmaTmaTmaAegMepTmaDoTmaDoDoOctTmaTmaTmaOctTmaMepOctMepOctMepOctOctOctTmaDoOctTmaTmaMepTmaOctDoTmaDoDoAegDoMepOctOctTmaTmaOctOctMepDoTmaOctDoDoMepMepTmaOctOctTmaTmaAegTmaOctTmaTmaOct
131610,000000002966192_00001,[0.33471461 0.10261222 0.20709853 0.24772236 0.10785228],['Tma' 'Aeg' 'Mep' 'Do' 'Oct'],TmaTmaMepDoDoDoAegTmaDoMepTmaDoTmaDoTmaTmaOctMepMepAegMepTmaOctTmaTmaAegDoOctMepTmaAegDoMepTmaDoAegTmaDoOctDoDoAegDoOctMepDoMepTmaMepMepDoTmaTmaOctMepTmaMepTmaTmaDoTmaOctTmaMepDoTmaAegMepOctTma
134707,000000003024639_00001,[0.17206545 0.13846736 0.37261819 0.07428498 0.24256403],['Tma' 'Aeg' 'Mep' 'Do' 'Oct'],TmaOctTmaTmaTmaOctMepOctAegAegMepOctAegMepMepMepMepTmaMepMepMepOctMepMepOctTmaOctAegMepTmaAegOctAegAegMepDoMepAegOctMepOctTmaOctAegMepOctMepMepDoMepOctTmaOctTmaMepMepMepMepMepOctDoTmaMepMepOctOctDoDoTmaAeg
139133,000000005859452_00001,[0.12864521 0.18404535 0.37145205 0.0740525  0.2418049 ],['Tma' 'Aeg' 'Mep' 'Do' 'Oct'],TmaOctAegMepTmaMepDoMepOctMepMepOctMepOctTmaDoDoMepOctTmaDoTmaMepMepOctTmaMepAegMepMepMepAegMepOctOctAegMepOctMepDoOctMepAegAegOctMepAegTmaMepAegAegTmaMepAegOctMepAegTmaMepOctOctOctMepMepMepAegOctOctMepAeg
152337,000000006340287_00001,[0.34924003 0.05353261 0.21608586 0.17231509 0.09629373 0.11253269],['Tma' 'Aeg' 'Mep' 'Do' 'Olam' 'Tmb'],TmaTmaTmbTmaTmaOlamTmbTmaOlamOlamTmaDoTmaDoDoTmaOlamMepDoTmbTmaTmbTmaDoOlamTmaDoTmaTmaDoAegTmaTmaMepAegTmbMepTmaMepTmaTmbMepTmbDoMepTmbTmaTmaDoTmaTmaMepDoMepMepTmaAegOlamMepDoTmaMepMepMepOlamMepDoTmaMepAeg
153999,000000002556599_00001,[0.12793431 0.13727122 0.61566563 0.03682164 0.08230719],['Tma' 'Aeg' 'Mep' 'Do' 'Olam'],TmaMepAegMepTmaAegMepTmaMepTmaMepMepMepAegMepAegMepMepMepTmaOlamAegMepMepMepAegMepMepMepMepDoMepMepMepTmaTmaTmaMepMepAegOlamMepMepMepMepMepMepDoAegMepTmaOlamMepMepMepMepMepMepMepMepOlamAegMepMepAegOlamMepOlamMepMep
159855,000000003036539_00001,[0.40421419 0.05421432 0.29178347 0.08725472 0.16253329],['Tma' 'Aeg' 'Mep' 'Do' 'Olam'],TmaMepMepOlamTmaTmaTmaMepOlamMepTmaMepTmaTmaAegAegTmaTmaOlamAegTmaTmaDoOlamTmaMepTmaMepDoDoMepMepOlamMepDoTmaMepOlamMepMepOlamTmaDoOlamMepTmaOlamTmaTmaTmaTmaMepMepTmaTmaTmaMepTmaOlamDoMepMepMepTmaAegTmaOlamMepTmaTma
185358,000000002537858_00001,[0.38203843 0.2049602  0.20683187 0.2061695 ],['Tma' 'Aeg' 'Mep' 'Do'],TmaTmaTmaTmaDoDoAegTmaMepDoTmaTmaAegTmaTmaTmaDoMepTmaAegDoTmaTmaTmaDoAegTmaAegTmaAegMepMepTmaMepMepMepMepTmaTmaMepMepTmaMepTmaMepAegAegMepDoTmaDoMepDoAegTmaAegTmaDoTmaAegTmaDoDoDoDoTmaAegAegMepAeg
