ID,y_probs,y_pred,y_true,mask
pepID6299,"[0.5789119601249695, 0.20819038152694702, 0.21289770305156708]",0,0,1
pepID10784,"[0.4630401134490967, 0.24363890290260315, 0.2933209538459778]",0,0,1
polyID18_S68,"[0.0013931200373917818, 0.3815020024776459, 0.6171048283576965]",2,2,1
pepID8670,"[0.8286594748497009, 0.055504776537418365, 0.11583572626113892]",0,0,1
pepID2269,"[0.3737921118736267, 0.29593363404273987, 0.3302742540836334]",0,2,1
pepID7822,"[0.17203158140182495, 0.4127608835697174, 0.41520753502845764]",2,0,1
pepID5689,"[0.6394960880279541, 0.16963809728622437, 0.19086585938930511]",0,0,1
pepID6449,"[0.8928554058074951, 0.02867473103106022, 0.07846982777118683]",0,0,1
pepID9070,"[0.7512688636779785, 0.09488282352685928, 0.15384836494922638]",0,0,1
pepID7068,"[0.5942097902297974, 0.193562313914299, 0.21222788095474243]",0,0,1
pepID4798,"[0.12644363939762115, 0.37508803606033325, 0.4984683394432068]",2,0,1
polyID30_S17,"[0.9144098162651062, 0.021382035687565804, 0.06420823186635971]",0,0,1
pepID459,"[0.33455103635787964, 0.31412047147750854, 0.35132846236228943]",2,1,1
pepID6124,"[0.18299613893032074, 0.3604613244533539, 0.4565425217151642]",2,0,1
pepID5423,"[0.47847312688827515, 0.25291115045547485, 0.2686156928539276]",0,0,1
polyID11_S28,"[0.0008772817091085017, 0.2482280433177948, 0.7508946657180786]",2,1,1
polyID22_S52,"[0.06907495111227036, 0.8473023772239685, 0.08362258970737457]",1,1,1
pepID6358,"[0.9168330430984497, 0.020264869555830956, 0.06290211528539658]",0,0,1
pepID3893,"[0.8317872881889343, 0.054908718913793564, 0.11330395191907883]",0,2,1
pepID6574,"[0.88905268907547, 0.03127755969762802, 0.07966966181993484]",0,0,1
pepID7798,"[0.5204423666000366, 0.21432015299797058, 0.26523739099502563]",0,0,1
polyID25_S49,"[0.9682907462120056, 0.0045284428633749485, 0.027180764824151993]",0,0,1
pepID7879,"[0.9177563786506653, 0.020250266417860985, 0.06199342757463455]",0,0,1
pepID6458,"[0.9159718751907349, 0.020842811092734337, 0.06318528950214386]",0,0,1
pepID7352,"[0.15325884521007538, 0.3836468458175659, 0.4630942642688751]",2,0,1
pepID4162,"[0.07722564786672592, 0.3772221803665161, 0.5455521941184998]",2,1,1
pepID300,"[0.6572228670120239, 0.1512555181980133, 0.19152162969112396]",0,1,1
polyID25_S24,"[0.9661954045295715, 0.004999347496777773, 0.028805246576666832]",0,0,1
pepID4662,"[0.5763968229293823, 0.21680830419063568, 0.2067948579788208]",0,0,1
polyID23_S54,"[0.011860129423439503, 0.32340115308761597, 0.6647387146949768]",2,1,1
pepID6799,"[0.23786664009094238, 0.3761272430419922, 0.3860061764717102]",2,0,1
polyID23_S55,"[0.007827972993254662, 0.30594107508659363, 0.6862309575080872]",2,1,1
pepID9186,"[0.8725459575653076, 0.03622061759233475, 0.09123340994119644]",0,0,1
pepID8816,"[0.6147848963737488, 0.17883746325969696, 0.20637761056423187]",0,0,1
pepID4378,"[0.017704468220472336, 0.33396974205970764, 0.6483257412910461]",2,2,1
pepID6580,"[0.8838025331497192, 0.03299335017800331, 0.08320420980453491]",0,0,1
pepID77,"[0.08991340547800064, 0.4011613428592682, 0.5089253187179565]",2,1,1
pepID4163,"[0.03414278104901314, 0.3344053030014038, 0.6314519643783569]",2,2,1
pepID9977,"[0.8521661162376404, 0.04765693470835686, 0.10017699003219604]",0,0,1
pepID6954,"[0.7571955323219299, 0.09565934538841248, 0.1471451371908188]",0,0,1
pepID1607,"[0.1300608217716217, 0.38815611600875854, 0.48178306221961975]",2,1,1
polyID30_S68,"[0.9213977456092834, 0.019114229828119278, 0.05948803573846817]",0,0,1
polyID25_S39,"[0.96882164478302, 0.004411845467984676, 0.026766518130898476]",0,0,1
pepID7432,"[0.9708964228630066, 0.004505028948187828, 0.024598503485322]",0,0,1
polyID36_S78,"[0.36644914746284485, 0.5454580783843994, 0.08809275180101395]",1,2,1
pepID8708,"[0.09045363962650299, 0.3919037878513336, 0.5176425576210022]",2,0,1
polyID12_S96,"[0.0018959104781970382, 0.42505714297294617, 0.5730469226837158]",2,1,1
polyID11_S60,"[0.002566270064562559, 0.3742910921573639, 0.623142659664154]",2,1,1
pepID9286,"[0.8050007224082947, 0.06833476573228836, 0.12666456401348114]",0,0,1
pepID1177,"[0.028018582612276077, 0.34427255392074585, 0.627708911895752]",2,1,1
polyID23_S82,"[0.015150868333876133, 0.331557959318161, 0.6532911658287048]",2,1,1
pepID6889,"[0.879624605178833, 0.034215282648801804, 0.08616006374359131]",0,0,1
pepID698,"[0.10530045628547668, 0.4025420844554901, 0.4921574890613556]",2,1,1
pepID8528,"[0.7259676456451416, 0.10850635915994644, 0.16552595794200897]",0,0,1
pepID8084,"[0.7000645995140076, 0.1277928650379181, 0.17214259505271912]",0,0,1
pepID238,"[0.09305594861507416, 0.3782658874988556, 0.5286781191825867]",2,2,1
pepID4818,"[0.16453903913497925, 0.3835100829601288, 0.45195087790489197]",2,0,1
pepID7073,"[0.5844310522079468, 0.21169713139533997, 0.20387187600135803]",0,0,1
polyID41_S1,"[0.8809837102890015, 0.03417350351810455, 0.0848427563905716]",0,1,1
pepID8637,"[0.9012927412986755, 0.026001378893852234, 0.07270591706037521]",0,0,1
polyID18_S63,"[0.0010242634452879429, 0.2518801987171173, 0.7470955848693848]",2,2,1
polyID40_S10,"[0.0024866105522960424, 0.25905415415763855, 0.7384592890739441]",2,2,1
pepID3668,"[0.08576416969299316, 0.3754386901855469, 0.53879714012146]",2,1,1
pepID5927,"[0.7542818188667297, 0.09652864187955856, 0.14918947219848633]",0,0,1
pepID2733,"[0.03538268804550171, 0.3956771492958069, 0.5689401626586914]",2,1,1
pepID3254,"[0.03392678126692772, 0.33817923069000244, 0.6278939843177795]",2,2,1
pepID5968,"[0.19627657532691956, 0.41569146513938904, 0.388031929731369]",1,0,1
pepID2509,"[0.04567920044064522, 0.37292593717575073, 0.5813948512077332]",2,2,1
pepID4323,"[0.05823705345392227, 0.35177645087242126, 0.5899864435195923]",2,1,1
pepID2012,"[0.07473773509263992, 0.3768148422241211, 0.5484474301338196]",2,2,1
polyID23_S17,"[0.00494828587397933, 0.2850097715854645, 0.7100419402122498]",2,1,1
polyID9_S3,"[0.2892422080039978, 0.639492928981781, 0.0712648257613182]",1,0,1
pepID7575,"[0.8872420191764832, 0.030392704531550407, 0.08236529678106308]",0,0,1
polyID31_S7,"[0.03606421500444412, 0.7964428663253784, 0.16749286651611328]",1,0,1
pepID835,"[0.11486660689115524, 0.4068518280982971, 0.4782816171646118]",2,1,1
pepID2932,"[0.030924292281270027, 0.3322892189025879, 0.6367864608764648]",2,2,1
pepID6781,"[0.8804932236671448, 0.03537387773394585, 0.08413282781839371]",0,0,1
pepID7104,"[0.6509721875190735, 0.14926402270793915, 0.19976375997066498]",0,0,1
pepID525,"[0.13407966494560242, 0.40473705530166626, 0.46118324995040894]",2,1,1
polyID30_S96,"[0.9251362085342407, 0.017780324444174767, 0.057083457708358765]",0,0,1
polyID11_S48,"[0.0013506177347153425, 0.43076640367507935, 0.5678829550743103]",2,1,1
pepID2007,"[0.12388549000024796, 0.4242815673351288, 0.45183297991752625]",2,1,1
polyID22_S32,"[0.06736764311790466, 0.8571174144744873, 0.07551500201225281]",1,1,1
polyID31_S32,"[0.0587024949491024, 0.577383279800415, 0.3639141321182251]",1,0,1
pepID7403,"[0.9057780504226685, 0.024887798354029655, 0.06933420151472092]",0,0,1
pepID2236,"[0.025130880996584892, 0.32033830881118774, 0.6545307636260986]",2,2,1
pepID1837,"[0.12624886631965637, 0.4350642263889313, 0.43868696689605713]",2,1,1
pepID10304,"[0.9196581840515137, 0.018568038940429688, 0.06177377700805664]",0,0,1
pepID5186,"[0.8391199111938477, 0.05189916118979454, 0.10898099094629288]",0,0,1
pepID9280,"[0.43117862939834595, 0.2801782190799713, 0.28864315152168274]",0,0,1
polyID25_S73,"[0.9634576439857483, 0.005655775777995586, 0.030886497348546982]",0,0,1
pepID10069,"[0.6568486094474792, 0.15794852375984192, 0.18520288169384003]",0,0,1
pepID8993,"[0.7504862546920776, 0.09814301878213882, 0.15137073397636414]",0,0,1
pepID3691,"[0.09120514243841171, 0.4117063283920288, 0.4970884919166565]",2,1,1
pepID9872,"[0.905749499797821, 0.02387011982500553, 0.07038046419620514]",0,0,1
polyID26_S50,"[0.32680854201316833, 0.593715488910675, 0.07947594672441483]",1,0,1
polyID25_S4,"[0.9718908667564392, 0.0037433120887726545, 0.024365846067667007]",0,0,1
pepID4541,"[0.3346575200557709, 0.316243976354599, 0.3490985631942749]",2,1,1
polyID22_S34,"[0.027108358219265938, 0.9054251909255981, 0.06746644526720047]",1,1,1
pepID4864,"[0.273881733417511, 0.3497922718524933, 0.3763260245323181]",2,1,1
pepID7422,"[0.9495009183883667, 0.010001077316701412, 0.040498003363609314]",0,0,1
pepID1194,"[0.21601535379886627, 0.37868037819862366, 0.40530434250831604]",2,2,1
pepID2496,"[0.2348690927028656, 0.3623490631580353, 0.40278181433677673]",2,1,1
polyID22_S57,"[0.08670944720506668, 0.8387367725372314, 0.07455373555421829]",1,1,1
pepID3270,"[0.03161279112100601, 0.32847222685813904, 0.6399149298667908]",2,1,1
pepID10375,"[0.7771332859992981, 0.08251915872097015, 0.14034759998321533]",0,0,1
pepID8163,"[0.317372590303421, 0.3226909041404724, 0.35993656516075134]",2,0,1
pepID7118,"[0.7525025606155396, 0.09866229444742203, 0.14883513748645782]",0,0,1
pepID3293,"[0.07600010186433792, 0.36007049679756165, 0.5639293193817139]",2,1,1
polyID32_S81,"[0.0020721638575196266, 0.23931732773780823, 0.7586104869842529]",2,2,1
pepID7324,"[0.9814271330833435, 0.001972949132323265, 0.016599833965301514]",0,0,1
pepID6246,"[0.8955687284469604, 0.028930962085723877, 0.07550035417079926]",0,0,1
pepID1163,"[0.2504732608795166, 0.37090933322906494, 0.37861737608909607]",2,0,1
pepID7654,"[0.9088991284370422, 0.023688893765211105, 0.06741201132535934]",0,0,1
pepID9535,"[0.9166626334190369, 0.02025575190782547, 0.06308162212371826]",0,0,1
pepID533,"[0.1742534041404724, 0.3955070376396179, 0.43023955821990967]",2,2,1
polyID26_S83,"[0.3334198296070099, 0.5875629186630249, 0.079017274081707]",1,0,1
pepID10427,"[0.918726921081543, 0.01974928006529808, 0.061523839831352234]",0,0,1
pepID2057,"[0.07896681874990463, 0.3919256329536438, 0.5291075706481934]",2,0,1
pepID449,"[0.06414787471294403, 0.36066892743110657, 0.5751832127571106]",2,2,1
pepID9899,"[0.5776614546775818, 0.21471913158893585, 0.20761941373348236]",0,0,1
pepID5213,"[0.43357643485069275, 0.2563735246658325, 0.3100500702857971]",0,0,1
pepID10527,"[0.3595978319644928, 0.3165101408958435, 0.3238920271396637]",0,0,1
pepID10205,"[0.9010142683982849, 0.026610305532813072, 0.07237538695335388]",0,0,1
pepID6667,"[0.17450526356697083, 0.39048248529434204, 0.43501222133636475]",2,0,1
pepID2957,"[0.5251700282096863, 0.23575231432914734, 0.239077627658844]",0,0,1
polyID50_S75,"[0.6566584706306458, 0.19147416949272156, 0.1518673151731491]",0,1,1
pepID8044,"[0.5597854852676392, 0.19545753300189972, 0.2447570264339447]",0,0,1
pepID8902,"[0.9565310478210449, 0.007901359349489212, 0.03556749224662781]",0,0,1
polyID23_S23,"[0.010961522348225117, 0.32097020745277405, 0.6680682897567749]",2,1,1
polyID32_S17,"[0.0010878783650696278, 0.20801983773708344, 0.7908923029899597]",2,2,1
pepID6201,"[0.9106015563011169, 0.022168699651956558, 0.067229725420475]",0,0,1
pepID1770,"[0.07854916900396347, 0.3790576159954071, 0.5423932075500488]",2,2,1
polyID25_S62,"[0.95900559425354, 0.006760944612324238, 0.03423354774713516]",0,0,1
pepID3433,"[0.02959396317601204, 0.3463200330734253, 0.6240859627723694]",2,2,1
pepID443,"[0.1459033489227295, 0.3956119418144226, 0.4584847390651703]",2,2,1
polyID36_S25,"[0.39778849482536316, 0.5055761337280273, 0.09663538634777069]",1,2,1
polyID30_S88,"[0.8270329236984253, 0.06274734437465668, 0.11021982133388519]",0,0,1
pepID7656,"[0.5765959024429321, 0.23435404896736145, 0.18904998898506165]",0,0,1
pepID7448,"[0.7733186483383179, 0.08345193415880203, 0.14322948455810547]",0,0,1
pepID4202,"[0.039899662137031555, 0.34275442361831665, 0.6173458695411682]",2,2,1
pepID3379,"[0.07693121582269669, 0.38026371598243713, 0.5428051352500916]",2,2,1
pepID10217,"[0.9169058203697205, 0.02069343626499176, 0.0624006986618042]",0,0,1
polyID50_S50,"[0.06629060208797455, 0.667046844959259, 0.2666625380516052]",1,1,1
polyID26_S47,"[0.36382678151130676, 0.5504137277603149, 0.08575952053070068]",1,0,1
polyID30_S28,"[0.904780387878418, 0.02482745423913002, 0.0703921765089035]",0,0,1
polyID12_S93,"[0.0024199970066547394, 0.30754727125167847, 0.6900327205657959]",2,1,1
pepID3643,"[0.0435962937772274, 0.35132163763046265, 0.6050820350646973]",2,1,1
pepID8431,"[0.9037517309188843, 0.02478143572807312, 0.0714668408036232]",0,0,1
polyID30_S63,"[0.8483005166053772, 0.05087973177433014, 0.10081969946622849]",0,0,1
pepID9375,"[0.7506633400917053, 0.09787753224372864, 0.15145912766456604]",0,0,1
pepID10593,"[0.09895695745944977, 0.4359727203845978, 0.4650702476501465]",2,0,1
pepID5084,"[0.15353555977344513, 0.3844550848007202, 0.4620093107223511]",2,2,1
pepID2265,"[0.1768576055765152, 0.37140846252441406, 0.45173388719558716]",2,2,1
pepID719,"[0.1364775151014328, 0.3954200744628906, 0.468102365732193]",2,0,1
pepID10183,"[0.7201552987098694, 0.11650260537862778, 0.16334208846092224]",0,0,1
pepID507,"[0.0614401251077652, 0.39085090160369873, 0.5477089881896973]",2,2,1
polyID28_S77,"[0.7746353149414062, 0.07861676067113876, 0.146747887134552]",0,0,1
polyID25_S84,"[0.9695034027099609, 0.004252465907484293, 0.02624419331550598]",0,0,1
polyID18_S60,"[0.0016187932342290878, 0.2635103464126587, 0.7348708510398865]",2,2,1
pepID7217,"[0.9436003565788269, 0.011758743785321712, 0.0446409210562706]",0,0,1
pepID7446,"[0.6737933158874512, 0.1454409807920456, 0.1807657778263092]",0,0,1
pepID5149,"[0.3954807221889496, 0.26698389649391174, 0.33753538131713867]",0,0,1
pepID9967,"[0.3391912579536438, 0.3211422860622406, 0.3396665155887604]",2,0,1
pepID10897,"[0.8642423748970032, 0.04110301285982132, 0.09465454518795013]",0,0,1
pepID9068,"[0.5783012509346008, 0.20167681574821472, 0.22002191841602325]",0,0,1
pepID6180,"[0.9080626368522644, 0.02265794947743416, 0.0692795068025589]",0,0,1
pepID9676,"[0.4091975688934326, 0.2820088565349579, 0.3087935745716095]",0,0,1
pepID8247,"[0.9317384362220764, 0.015362486243247986, 0.05289912968873978]",0,0,1
pepID6589,"[0.9525682926177979, 0.008481104858219624, 0.038950636982917786]",0,0,1
pepID4826,"[0.04358935356140137, 0.34491071105003357, 0.6114999055862427]",2,2,1
pepID6426,"[0.9442418813705444, 0.01147410273551941, 0.04428412765264511]",0,0,1
pepID3527,"[0.4034561514854431, 0.2678261399269104, 0.3287177085876465]",0,2,1
polyID11_S71,"[0.0008862527320161462, 0.24746890366077423, 0.7516449093818665]",2,1,1
polyID9_S66,"[0.2736216187477112, 0.6596671342849731, 0.06671124696731567]",1,0,1
pepID2010,"[0.14616882801055908, 0.42597121000289917, 0.42785993218421936]",2,1,1
pepID414,"[0.7761416435241699, 0.08291122317314148, 0.1409471184015274]",0,1,1
pepID4186,"[0.05353854224085808, 0.3513162136077881, 0.5951452255249023]",2,2,1
pepID6308,"[0.269669771194458, 0.36673760414123535, 0.36359262466430664]",1,0,1
polyID32_S59,"[0.00257312785834074, 0.24324050545692444, 0.7541863322257996]",2,2,1
pepID2143,"[0.14720000326633453, 0.37346237897872925, 0.4793376326560974]",2,2,1
pepID5767,"[0.1519441306591034, 0.39271730184555054, 0.45533859729766846]",2,0,1
polyID30_S23,"[0.726824939250946, 0.1447104960680008, 0.12846451997756958]",0,0,1
pepID1077,"[0.03612929582595825, 0.3584027886390686, 0.6054678559303284]",2,2,1
polyID23_S56,"[0.01235269196331501, 0.32675281167030334, 0.6608944535255432]",2,1,1
pepID272,"[0.13745638728141785, 0.3759938180446625, 0.48654985427856445]",2,0,1
pepID1285,"[0.24074001610279083, 0.3562197983264923, 0.40304020047187805]",2,2,1
pepID7974,"[0.8109039068222046, 0.06592042744159698, 0.12317564338445663]",0,0,1
polyID18_S27,"[0.0019358329009264708, 0.28084176778793335, 0.7172223925590515]",2,2,1
polyID40_S63,"[0.003468712791800499, 0.2611970007419586, 0.7353342771530151]",2,2,1
pepID9437,"[0.6548799872398376, 0.15252791345119476, 0.1925920695066452]",0,0,1
polyID26_S66,"[0.3552980422973633, 0.557090163230896, 0.08761180937290192]",1,0,1
polyID18_S1,"[0.002112261252477765, 0.2838748097419739, 0.7140129208564758]",2,2,1
pepID8738,"[0.6002631187438965, 0.18967705965042114, 0.21005982160568237]",0,0,1
pepID10936,"[0.4819103181362152, 0.24604317545890808, 0.2720464766025543]",0,0,1
pepID8091,"[0.8172882199287415, 0.06273939460515976, 0.11997237801551819]",0,0,1
pepID610,"[0.06195348501205444, 0.3702947497367859, 0.5677518248558044]",2,1,1
pepID10468,"[0.6602429747581482, 0.1481013298034668, 0.1916557401418686]",0,0,1
pepID1263,"[0.06528491526842117, 0.36442750692367554, 0.5702875256538391]",2,2,1
pepID5001,"[0.027165371924638748, 0.33950087428092957, 0.6333338022232056]",2,1,1
pepID4919,"[0.2998276650905609, 0.3279463052749634, 0.3722259998321533]",2,1,1
pepID4436,"[0.040111225098371506, 0.349167138338089, 0.6107216477394104]",2,2,1
polyID9_S93,"[0.2034362554550171, 0.7325851917266846, 0.06397860497236252]",1,0,1
pepID9687,"[0.08711116760969162, 0.3727620244026184, 0.5401268005371094]",2,0,1
polyID9_S55,"[0.19207799434661865, 0.7481928467750549, 0.05972914770245552]",1,0,1
pepID1937,"[0.038953617215156555, 0.3431233763694763, 0.6179230213165283]",2,1,1
pepID9604,"[0.9078285098075867, 0.023385604843497276, 0.06878581643104553]",0,0,1
pepID5608,"[0.4291374087333679, 0.27776074409484863, 0.2931019067764282]",0,0,1
pepID3670,"[0.03499004244804382, 0.37728944420814514, 0.587720513343811]",2,1,1
pepID5306,"[0.8975768685340881, 0.026980629190802574, 0.07544247061014175]",0,0,1
pepID8646,"[0.903482973575592, 0.02478191629052162, 0.07173505425453186]",0,0,1
polyID22_S23,"[0.07199672609567642, 0.8478565812110901, 0.08014677464962006]",1,1,1
pepID3671,"[0.07592594623565674, 0.3767586946487427, 0.5473153591156006]",2,2,1
pepID10789,"[0.23308050632476807, 0.42747148871421814, 0.3394480049610138]",1,0,1
pepID3317,"[0.031237123534083366, 0.35026776790618896, 0.6184951066970825]",2,2,1
pepID10089,"[0.29359301924705505, 0.3300934135913849, 0.37631359696388245]",2,0,1
pepID8475,"[0.8890583515167236, 0.030007293447852135, 0.08093436062335968]",0,0,1
