ID,sequence,immunogenic
SID21,MoNiTmaNiTmaNiTmaNiNiNiTmaTmaNiNiTmaTmaMoNiTmaNiTmaNiTmaNiNiTmaNiNiTmaNiMoNiNiTmaTmaNiNiNiNiNiNiNiTmaNiTmaTmaNiTmaTmaTmaTmaNiNiNiNiTmaTmaNiNiNiNiMoTmaTmaTmaNiMoNiNiNi,No
SID22,NiNiTmaTmaTmaTmaNiTmaMoMoNiNiTmaNiNiTmaNiTmaTmaTmaNiNiTmaTmaNiTmaTmaTmaNiNiTmaNiTmaNiTmaTmaNiNiNiNiNiNiNiTmaNiMoNiNiTmaTmaTmaNiNiTmaTmaNiNiTmaMoNiNiNiTmaNiNiTmaNiTmaNiTma,No
SID23,NiMoNiMoTmaTmaTmaNiTmaTmaTmaTmaTmaNiNiNiTmaTmaNiNiNiTmaTmaNiNiMoTmaMoNiTmaTmaNiNiNiNiTmaTmaNiNiTmaNiTmaNiMoTmaTmaNiTmaNiTmaNiTmaTmaMoMoMoNiNiTmaNiTmaMoNiNiMoNiNiMoTmaTma,No
SID24,NiNiTmaTmaTmaMoNiNiNiTmaNiTmaTmaNiNiTmaTmaTmaNiNiTmaMoNiTmaNiMoNiTmaTmaNiTmaMoNiTmaNiNiTmaNiNiMoNiNiNiNiNiNiTmaTmaNiNiNiTmaNiTmaTmaNiNiNiTmaNiNiNiTmaNiMoTmaTmaMoMoTma,No
SID25,NiNiMoTmaNiMoNiMoTmaMoTmaTmaTmaTmaTmaTmaNiMoNiTmaTmaNiTmaNiMoNiNiTmaTmaTmaTmaTmaNiTmaNiNiTmaNiTmaNiTmaNiNiNiNiMoNiNiTmaTmaNiMoTmaTmaTmaNiTmaMoTmaTmaNiNiTmaTmaTmaTmaNiTmaMoTma,No
SID26,TmaNiTmaNiNiTmaTmaTmaTmaNiNiTmaTmaNiTmaTmaNiNiTmaTmaTmaTmaTmaTmaNiMoNiNiTmaNiTmaNiTmaTmaTmaNiTmaTmaTmaTmaNiNiNiTmaNiNiMoTmaTmaMoNiTmaNiMoNiMoTmaNiTmaTmaTmaNiNiTmaNiTmaTmaNiTmaNi,No
SID27,TmaNiTmaNiMoNiNiTmaNiMoMoTmaMoNiNiNiMoTmaNiTmaTmaNiNiNiTmaNiTmaNiNiTmaMoMoNiNiTmaNiNiTmaNiTmaNiNiTmaMoNiNiTmaNiNiTmaNiTmaTmaNiTmaTmaTmaNiTmaNiTmaNiNiNiNiNiMoMoNiNi,No
SID28,NiTmaTmaTmaNiNiNiMoTmaNiNiNiTmaNiNiTmaNiTmaNiTmaNiNiTmaNiTmaMoTmaNiNiNiNiTmaTmaTmaMoTmaNiTmaNiTmaNiTmaNiTmaTmaMoNiTmaTmaMoTmaNiNiTmaTmaTmaTmaTmaMoNiTmaNiNiMoTmaNiNiMoTmaTma,No
SID29,NiTmaNiTmaMoMoTmaTmaTmaTmaTmaNiNiTmaTmaNiNiNiMoTmaNiTmaTmaNiNiTmaNiNiNiTmaNiNiNiNiTmaNiTmaNiNiNiNiNiTmaNiNiNiNiNiTmaMoNiNiTmaTmaTmaTmaTmaTmaTmaNiTmaNiNiNiNiTmaTmaTmaNiTma,No
SID30,NiTmaNiTmaTmaNiTmaTmaNiTmaTmaMoNiNiTmaTmaTmaTmaMoTmaMoNiNiNiNiNiTmaNiMoNiNiNiMoTmaNiMoNiTmaNiNiTmaMoMoTmaNiTmaTmaNiTmaNiTmaNiTmaTmaMoTmaNiNiNiTmaNiTmaMoTmaNiTmaTmaNiMoNi,No
SID31,NiTmaNiNiTmaNiNiTmaTmaNiTmaNiTmaTmaMoTmaTmaNiNiNiMoTmaNiTmaMoNiTmaTmaTmaTmaTmaTmaTmaNiNiNiNiTmaTmaTmaNiNiTmaNiNiNiTmaMoNiTmaNiTmaTmaTmaTmaMoNiTmaNiNiNiTmaNiTmaNiTmaMoNiNiNi,No
SID32,MoTmaTmaNiNiNiTmaNiTmaTmaTmaTmaNiTmaNiTmaTmaTmaNiNiTmaTmaTmaNiTmaTmaNiTmaNiNiTmaTmaTmaNiTmaTmaNiTmaNiNiNiTmaTmaNiTmaTmaNiTmaTmaMoTmaTmaMoNiNiNiNiTmaTmaNiTmaNiTmaNiNiTmaNiNiNiNi,No
SID33,TmaNiNiNiTmaNiTmaNiTmaNiTmaNiNiNiNiTmaNiTmaNiTmaTmaTmaTmaMoMoTmaMoNiNiNiTmaTmaTmaTmaMoNiTmaTmaTmaTmaNiNiNiTmaNiNiTmaNiNiNiTmaTmaNiTmaNiTmaMoNiMoNiNiNiMoNiTmaNiMoNiTmaTma,No
SID34,MoNiNiNiTmaNiMoNiTmaMoNiMoMoNiTmaNiTmaTmaMoTmaTmaMoNiTmaTmaTmaTmaMoTmaTmaTmaTmaNiTmaNiTmaTmaTmaNiNiNiNiMoTmaNiTmaTmaNiNiTmaTmaTmaTmaTmaMoNiNiNiNiNiMoMoNiNiNiMoNiTmaTmaTma,No
SID35,NiTmaNiNiNiNiTmaMoMoTmaTmaTmaTmaTmaTmaNiNiNiMoTmaTmaTmaTmaTmaTmaNiTmaTmaTmaTmaTmaTmaTmaNiMoNiNiTmaTmaNiNiMoNiTmaTmaNiTmaNiTmaTmaNiNiMoNiNiNiTmaTmaNiNiTmaTmaNiMoTmaNiTmaTmaTmaTma,No
SID36,TmaNiTmaTmaTmaNiNiTmaMoNiTmaMoTmaTmaTmaNiTmaNiTmaTmaTmaTmaNiNiTmaNiTmaTmaTmaTmaNiTmaNiTmaNiNiNiTmaTmaNiTmaMoNiTmaTmaNiTmaNiTmaTmaNiNiNiNiTmaNiTmaTmaNiNiTmaNiTmaTmaNiNiTmaNiNiNi,No
SID37,NiNiMoNiNiTmaNiTmaTmaTmaTmaNiNiTmaTmaNiMoNiTmaTmaTmaNiTmaTmaNiTmaNiTmaNiMoTmaTmaTmaNiNiNiTmaNiNiNiMoTmaNiTmaMoNiNiNiNiTmaNiNiTmaNiNiTmaNiNiTmaNiTmaNiTmaNiNiMoTmaNiNiTma,No
SID38,TmaTmaNiNiTmaNiTmaNiTmaMoTmaNiTmaNiTmaMoTmaNiMoTmaTmaTmaMoTmaNiTmaTmaMoTmaTmaNiNiNiNiTmaNiNiTmaNiNiNiTmaNiNiNiTmaTmaMoTmaNiTmaNiTmaTmaTmaTmaNiNiNiTmaNiTmaTmaTmaNiTmaMoNiNiTma,No
SID39,NiNiNiTmaTmaNiTmaTmaTmaNiNiNiNiNiNiMoNiNiNiTmaTmaNiNiTmaMoTmaTmaNiTmaNiNiNiTmaTmaNiTmaNiMoNiTmaNiNiTmaTmaNiTmaNiTmaTmaTmaNiTmaMoNiNiNiNiTmaNiTmaTmaTmaTmaTmaTmaNiNiMoTmaNi,No
SID40,MoTmaNiNiTmaNiMoNiNiTmaMoNiTmaTmaTmaTmaTmaNiNiTmaNiTmaTmaTmaNiNiTmaMoNiTmaNiMoNiNiMoNiNiTmaTmaNiTmaTmaTmaNiNiTmaNiTmaTmaNiNiTmaMoMoTmaNiNiTmaTmaNiTmaTmaNiTmaNiMoNiTmaMoTma,No
SID41,TmaNiTmaTmaTmaNiTmaTmaNiNiTmaNiNiNiTmaTmaTmaTmaNiTmaTmaMoTmaTmaTmaNiNiNiMoTmaNiNiTmaTmaTmaNiTmaMoTmaTmaNiNiNiTmaNiNiNiTmaTmaTmaMoTmaNiTmaTmaTmaNiNiMoMoMoNiNiNiTmaTmaTmaTmaNiTma,No
SID42,NiTmaTmaMoTmaMoTmaTmaNiNiTmaNiTmaNiTmaMoTmaNiTmaNiNiTmaNiTmaTmaTmaNiNiTmaTmaNiNiMoMoTmaNiNiNiMoNiTmaTmaTmaTmaNiMoNiNiTmaTmaTmaTmaNiNiTmaTmaNiMoNiNiMoTmaTmaTmaNiTmaNiMoTmaTma,No
SID43,NiNiNiNiMoTmaMoTmaTmaNiNiTmaMoNiMoMoTmaTmaTmaMoTmaMoNiTmaNiNiTmaTmaTmaMoNiTmaNiTmaTmaNiNiTmaNiNiTmaNiNiTmaNiNiNiTmaTmaTmaMoTmaTmaMoNiNiMoNiNiNiTmaNiNiNiNiTmaTmaNiTmaNi,No
SID44,TmaTmaTmaNiNiTmaTmaMoTmaTmaNiTmaNiNiTmaMoNiTmaNiNiTmaNiTmaTmaTmaNiNiTmaNiTmaTmaTmaTmaTmaNiNiTmaTmaMoTmaTmaNiNiMoNiNiNiTmaTmaNiNiTmaTmaNiTmaMoMoTmaNiTmaTmaTmaTmaTmaTmaNiTmaTmaTmaTma,No
SID45,NiTmaNiTmaTmaTmaNiTmaNiNiNiNiNiTmaTmaNiTmaNiTmaMoNiTmaMoTmaTmaTmaTmaMoTmaTmaTmaTmaNiTmaTmaTmaNiMoTmaMoMoTmaTmaNiNiTmaTmaNiTmaNiTmaNiTmaTmaTmaTmaTmaTmaNiTmaNiNiNiMoNiNiMoNiMoNi,No
SID46,NiNiTmaMoNiTmaTmaNiTmaNiNiNiNiNiNiTmaNiNiNiNiMoTmaTmaNiTmaTmaNiTmaTmaNiTmaTmaTmaNiNiTmaNiTmaNiNiMoTmaTmaTmaTmaTmaTmaNiNiNiNiTmaTmaMoNiTmaTmaNiTmaMoNiMoNiTmaNiNiNiTmaNiTma,No
SID47,TmaMoNiTmaNiTmaMoNiTmaNiNiNiTmaTmaTmaTmaTmaTmaNiTmaMoNiNiNiNiTmaMoTmaMoTmaNiNiNiTmaMoTmaNiTmaMoTmaTmaMoTmaNiTmaTmaNiNiTmaNiTmaTmaMoTmaNiNiTmaMoNiTmaNiTmaTmaTmaNiTmaTmaNiTmaTma,No
SID48,TmaNiTmaTmaNiMoTmaNiNiNiMoNiNiTmaNiNiNiNiNiTmaTmaTmaNiTmaNiTmaNiNiNiNiTmaNiNiNiNiMoTmaTmaTmaTmaMoTmaTmaMoTmaMoTmaNiNiTmaTmaMoNiTmaNiNiTmaNiNiNiNiTmaTmaTmaTmaNiNiTmaTmaNi,No
SID49,NiNiTmaTmaNiNiTmaNiTmaTmaTmaNiNiNiNiTmaTmaNiNiTmaNiTmaTmaNiMoMoTmaNiTmaTmaNiMoNiNiTmaMoTmaNiNiTmaMoTmaTmaMoTmaMoTmaMoTmaTmaTmaMoNiNiNiTmaNiTmaNiTmaNiTmaTmaTmaNiNiMoNiNiTma,No
SID50,NiTmaMoTmaTmaNiNiTmaMoMoNiNiTmaTmaTmaMoTmaNiTmaNiNiTmaTmaTmaNiTmaTmaNiTmaTmaTmaNiTmaMoMoNiNiNiNiNiNiMoNiNiTmaNiTmaNiTmaTmaTmaMoTmaTmaTmaNiTmaTmaNiNiTmaTmaNiNiNiNiTmaMoNiTma,No
SID51,TmaMoTmaNiTmaNiTmaNiNiTmaNiNiNiTmaNiNiNiNiMoTmaNiNiNiNiNiNiNiNiTmaTmaTmaTmaMoTmaNiMoNiMoTmaTmaNiNiNiNiMoNiNiTmaTmaNiNiTmaNiNiNiTmaNiNiNiNiTmaMoTmaTmaTmaTmaNiTmaNiNi,No
SID52,TmaNiNiTmaTmaTmaNiTmaNiTmaMoTmaNiTmaNiNiMoTmaTmaMoTmaTmaNiMoMoTmaNiTmaNiNiTmaTmaNiNiTmaTmaNiTmaNiNiTmaTmaNiTmaTmaNiTmaNiTmaTmaTmaNiNiNiNiMoTmaMoTmaTmaNiTmaTmaTmaNiTmaTmaNiTmaTma,No
SID53,NiTmaTmaMoMoNiTmaMoNiNiNiTmaTmaTmaMoNiTmaTmaTmaNiNiTmaNiTmaNiTmaNiNiNiTmaMoMoTmaNiTmaNiTmaNiTmaNiNiNiNiTmaTmaTmaNiNiTmaTmaTmaTmaNiNiNiMoTmaNiNiTmaMoNiNiNiNiNiTmaNiNiTma,No
SID54,TmaTmaTmaNiTmaNiTmaNiNiMoNiNiTmaTmaNiNiTmaTmaTmaNiNiNiNiNiTmaTmaNiTmaTmaTmaMoMoTmaNiTmaTmaTmaMoNiTmaTmaNiNiNiTmaNiNiMoNiTmaNiNiTmaTmaNiNiNiTmaNiMoNiNiNiTmaNiNiTmaMoTmaNi,No
SID55,NiTmaTmaMoTmaNiNiNiNiTmaNiTmaNiNiMoNiTmaTmaNiNiTmaNiTmaMoTmaNiTmaTmaNiTmaNiTmaNiTmaNiTmaNiTmaMoTmaNiTmaNiTmaMoNiTmaNiNiNiMoNiNiNiNiNiTmaTmaNiNiNiNiNiNiTmaNiNiTmaNiTma,No
SID56,MoNiTmaTmaNiTmaNiTmaNiTmaNiNiTmaTmaTmaMoTmaNiTmaNiNiTmaTmaNiTmaNiNiNiTmaTmaTmaTmaTmaTmaTmaTmaMoTmaMoTmaMoNiNiNiNiTmaNiNiMoNiTmaNiNiTmaNiNiNiTmaNiTmaTmaTmaTmaMoNiTmaTmaTmaMoTma,No
SID57,TmaTmaNiTmaTmaNiMoTmaTmaTmaTmaNiTmaTmaNiTmaTmaNiNiMoTmaMoTmaNiTmaMoTmaNiNiNiNiNiTmaNiTmaTmaNiNiTmaNiTmaTmaTmaNiNiNiTmaTmaNiNiTmaTmaNiMoTmaNiTmaMoTmaTmaNiNiTmaNiNiTmaNiTmaTmaNi,No
SID58,NiTmaNiNiTmaTmaTmaTmaNiTmaTmaNiNiTmaNiNiMoNiMoNiNiTmaTmaTmaTmaNiNiNiNiTmaNiTmaTmaNiTmaTmaTmaNiTmaNiTmaMoNiTmaNiNiTmaMoTmaNiTmaNiMoMoNiMoTmaMoNiNiNiNiTmaTmaTmaTmaMoTmaTmaTma,No
SID59,TmaNiTmaTmaNiTmaNiNiTmaTmaNiMoTmaTmaNiNiNiTmaNiNiTmaMoTmaTmaNiTmaNiNiTmaTmaTmaTmaNiNiTmaNiTmaTmaNiNiTmaTmaTmaMoMoTmaTmaTmaTmaMoNiNiNiTmaNiNiNiNiMoNiNiTmaTmaTmaTmaTmaNiMoNiNi,No
SID60,NiNiNiNiNiTmaTmaNiMoNiNiNiNiTmaTmaTmaNiMoTmaNiTmaNiNiMoTmaMoTmaNiTmaTmaTmaNiTmaNiTmaTmaNiTmaTmaNiTmaMoTmaTmaTmaMoTmaTmaTmaTmaNiTmaNiNiNiMoTmaNiTmaNiNiTmaTmaMoNiNiTmaTmaNiMo,No
SID61,TmaTmaTmaTmaTmaNiMoTmaTmaNiTmaTmaMoNiNiNiTmaNiNiTmaNiTmaNiNiTmaTmaNiTmaMoTmaTmaTmaTmaTmaNiNiNiTmaTmaNiTmaTmaNiNiTmaTmaNiNiNiMoTmaNiTmaTmaTmaTmaTmaNiTmaNiNiNiTmaTmaTmaMoTmaNiTmaNi,No
SID62,NiNiTmaNiTmaNiNiNiTmaTmaNiTmaTmaNiNiNiTmaNiTmaNiTmaNiTmaTmaNiTmaNiTmaNiTmaTmaTmaNiTmaTmaTmaNiMoNiTmaTmaTmaNiMoNiTmaTmaTmaTmaNiTmaTmaMoTmaNiMoTmaNiTmaNiMoMoTmaNiNiNiNiTmaNiMo,No
SID63,MoNiNiNiMoTmaNiTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaMoTmaNiNiNiNiTmaNiNiNiTmaTmaNiNiNiNiNiTmaNiTmaTmaNiTmaNiNiTmaTmaNiTmaNiNiNiTmaNiTmaNiTmaNiNiTmaTmaNiNiMoMoTmaNiMoTmaNiMoNi,No
SID64,NiTmaTmaNiNiNiMoNiNiTmaMoNiNiTmaTmaTmaNiNiNiNiTmaNiNiTmaNiTmaTmaNiNiTmaNiNiTmaNiNiTmaMoTmaMoTmaNiNiTmaTmaTmaTmaTmaTmaNiTmaTmaMoTmaMoTmaTmaTmaMoTmaNiTmaTmaTmaTmaNiTmaNiTmaNiTma,No
SID65,TmaTmaNiMoTmaNiMoTmaTmaNiTmaTmaTmaNiTmaTmaTmaNiNiNiNiTmaTmaNiNiTmaNiNiNiMoTmaNiTmaTmaTmaTmaMoNiNiNiNiTmaTmaTmaTmaTmaNiNiTmaNiMoTmaNiTmaNiNiTmaNiTmaNiMoNiNiTmaNiNiNiTmaMoTma,No
SID66,NiMoNiNiNiNiNiNiNiNiTmaTmaTmaNiNiTmaTmaNiNiTmaTmaMoNiMoTmaNiNiMoTmaTmaTmaNiTmaMoTmaTmaNiTmaNiTmaTmaNiNiNiNiNiTmaTmaTmaNiNiTmaNiNiNiNiTmaNiNiTmaNiNiTmaMoTmaTmaMoTmaTmaTma,No
SID67,TmaTmaNiTmaMoNiTmaNiNiTmaNiNiTmaNiTmaNiTmaTmaTmaNiNiNiNiTmaTmaMoNiTmaTmaMoTmaTmaNiNiMoTmaTmaNiNiTmaTmaTmaTmaNiMoNiNiTmaNiNiTmaTmaNiNiNiTmaTmaTmaTmaMoTmaNiNiTmaMoNiTmaNiNiTma,No
SID68,NiNiNiNiNiNiMoTmaTmaTmaNiTmaNiNiMoTmaNiTmaTmaMoTmaTmaTmaTmaNiNiTmaNiMoTmaTmaMoNiTmaTmaNiTmaNiTmaNiTmaNiNiTmaTmaTmaMoNiNiTmaMoTmaNiMoTmaTmaNiNiMoNiTmaTmaNiTmaMoTmaTmaTmaTmaNi,No
SID69,NiNiTmaNiTmaTmaTmaNiMoTmaNiNiNiTmaTmaNiNiTmaNiTmaNiTmaTmaTmaNiTmaNiNiMoTmaTmaNiMoMoTmaMoTmaNiTmaTmaNiTmaMoTmaTmaTmaTmaNiNiTmaTmaTmaNiNiTmaNiNiNiMoTmaTmaNiTmaNiMoNiTmaNiNiTma,No
SID70,NiTmaTmaTmaMoTmaNiNiMoNiNiNiTmaNiNiTmaNiNiTmaNiNiTmaNiTmaNiNiTmaTmaTmaTmaNiTmaMoMoNiNiTmaNiNiNiTmaNiNiMoNiNiTmaNiTmaNiNiTmaNiTmaNiNiTmaMoNiNiTmaTmaTmaMoNiMoNiNiTmaNi,No
SID71,NiTmaTmaNiTmaNiNiTmaTmaTmaNiMoTmaNiNiNiNiTmaTmaNiMoTmaNiNiNiTmaTmaMoTmaNiMoTmaNiTmaTmaTmaNiTmaTmaNiNiTmaNiNiTmaNiMoNiNiTmaTmaNiTmaNiNiMoTmaTmaNiNiMoMoTmaTmaTmaNiTmaTmaNiNi,No
SID72,TmaTmaTmaNiNiNiTmaTmaTmaTmaTmaTmaMoTmaTmaNiTmaNiNiTmaMoNiNiNiTmaNiNiNiMoNiTmaTmaNiTmaTmaNiTmaMoNiNiMoNiNiNiNiNiMoNiNiTmaNiMoNiMoMoNiTmaNiMoNiTmaNiTmaNiTmaTmaTmaTmaTmaNi,No
SID73,MoTmaNiMoNiMoNiMoTmaMoTmaTmaTmaNiTmaTmaMoMoNiMoTmaTmaTmaNiNiTmaNiTmaTmaNiMoMoTmaTmaNiTmaNiTmaTmaTmaTmaTmaTmaNiTmaNiTmaTmaTmaMoMoNiTmaTmaNiTmaTmaNiMoNiNiTmaNiNiNiTmaTmaTmaTmaTma,No
SID74,TmaNiNiNiNiTmaNiMoTmaNiTmaTmaTmaTmaTmaTmaNiTmaTmaNiNiNiNiMoNiTmaTmaTmaNiTmaNiTmaNiTmaTmaTmaTmaNiNiNiTmaNiNiNiNiTmaTmaTmaTmaNiNiNiTmaTmaNiNiNiTmaTmaTmaTmaNiMoTmaTmaMoNiNiTmaMo,No
SID75,NiTmaTmaTmaNiTmaTmaNiNiTmaTmaTmaTmaNiTmaMoTmaTmaNiTmaNiNiTmaTmaTmaNiTmaNiTmaTmaNiTmaTmaNiTmaNiNiTmaNiTmaTmaNiNiMoNiNiNiNiMoMoNiNiTmaNiTmaNiMoTmaNiNiTmaTmaNiNiNiTmaMoTmaNiTma,No
SID76,TmaTmaNiTmaTmaNiTmaMoNiTmaNiNiTmaNiNiNiTmaTmaTmaNiTmaNiNiTmaTmaTmaNiTmaTmaNiNiNiNiTmaTmaNiNiTmaTmaTmaMoNiTmaTmaMoTmaTmaMoTmaNiTmaNiNiNiNiNiTmaNiMoNiNiTmaNiNiTmaNiNiNiNiNi,No
SID77,TmaNiMoTmaNiNiNiNiMoTmaTmaNiNiNiNiNiNiNiNiNiTmaMoMoMoNiTmaNiNiTmaTmaTmaNiNiNiNiTmaNiTmaMoTmaNiTmaNiNiTmaTmaTmaNiNiMoNiMoMoNiTmaTmaNiTmaNiTmaMoNiTmaTmaNiTmaMoTmaTmaTma,No
SID78,NiTmaNiTmaNiTmaMoNiNiMoTmaNiTmaNiNiTmaTmaNiNiTmaMoTmaMoTmaTmaNiNiTmaTmaTmaTmaTmaTmaNiNiNiNiTmaNiTmaMoNiNiTmaTmaTmaTmaNiMoTmaTmaNiTmaNiTmaTmaMoNiNiTmaMoTmaTmaNiMoTmaTmaNiNiNi,No
