sample_ID,poly_ID,MIC_ecoli,sequence,seq_mon_mol_dist
18,1,900.8108108108108,TmaNiNiTmaTmaMoTmaNiMoNiNiTmaNiNiNiNiMoTmaTmaTmaNiMoNiMoNiTmaNiTmaNiNiNiNiMoTmaMoTmaNiNiTmaMoTmaTmaMoTmaNiTmaTmaNiNiNiMoNiTmaNiNiNiNiMoNiNiNiTmaNiTmaTmaNiTmaTmaTmaTma,[0.5040946  0.35025479 0.14565061]
19,1,900.8108108108108,TmaTmaNiTmaTmaNiTmaNiNiTmaNiTmaTmaNiNiTmaTmaNiNiNiNiTmaNiTmaNiNiTmaMoMoTmaTmaTmaNiTmaTmaTmaNiTmaTmaNiTmaNiTmaMoNiNiTmaTmaTmaMoNiTmaNiNiNiNiMoTmaTmaNiNiTmaNiTmaTmaNiMoTmaTmaNi,[0.62361712 0.30122556 0.07515732]
20,1,900.8108108108108,TmaNiTmaNiTmaTmaTmaNiNiNiNiNiTmaNiTmaMoTmaMoNiMoNiNiMoNiTmaMoNiNiTmaTmaTmaNiTmaMoTmaTmaNiNiNiTmaTmaTmaNiNiNiNiMoNiTmaTmaTmaTmaMoTmaTmaNiNiNiTmaTmaNiNiTmaTmaNiNiTmaTmaTmaMo,[0.57868809 0.30657417 0.11473774]
21,1,900.8108108108108,NiTmaTmaMoTmaMoTmaNiNiTmaNiTmaNiNiTmaNiNiNiTmaMoNiTmaTmaTmaTmaMoNiTmaTmaTmaMoTmaTmaNiTmaTmaTmaTmaTmaTmaTmaTmaTmaNiMoMoTmaNiMoNiNiNiTmaTmaNiNiTmaNiTmaMoMoMoNiNiTmaNiNiNiTmaMo,[0.60130002 0.2493726  0.14932738]
22,1,900.8108108108108,NiTmaTmaNiTmaNiNiTmaNiTmaTmaTmaNiTmaTmaTmaTmaTmaTmaNiTmaNiNiTmaTmaNiTmaMoNiTmaTmaTmaTmaNiTmaNiNiNiTmaMoNiNiNiNiMoTmaNiTmaMoMoTmaTmaNiTmaNiTmaTmaNiTmaTmaNiTmaTmaTmaTmaNiTmaMoTmaNi,[0.67458537 0.25267258 0.07274204]
23,1,900.8108108108108,NiNiNiNiTmaTmaTmaTmaNiTmaTmaMoMoTmaNiNiTmaNiMoNiMoNiNiNiTmaTmaNiTmaTmaTmaNiNiTmaNiTmaNiNiNiTmaTmaNiTmaNiTmaMoTmaTmaTmaNiMoMoTmaTmaNiTmaNiNiNiTmaNiNiNiNiNiNiTmaTmaNiTmaMo,[0.55207801 0.34391241 0.10400959]
24,1,900.8108108108108,MoNiNiNiNiMoNiNiNiNiNiTmaNiNiTmaNiTmaTmaTmaMoNiNiTmaTmaNiTmaNiNiNiTmaNiNiTmaNiNiTmaNiNiNiNiTmaMoNiNiNiTmaTmaNiTmaNiTmaNiTmaTmaNiTmaTmaTmaMoTmaMoNiNiTmaNiNiNiNiNiTma,[0.4800483  0.43799095 0.08196074]
25,1,900.8108108108108,TmaNiNiTmaTmaNiNiNiTmaNiNiNiTmaMoTmaTmaNiTmaNiTmaMoNiNiNiTmaMoNiTmaNiNiNiNiNiNiTmaNiNiNiNiMoTmaNiMoNiTmaNiNiTmaTmaMoTmaTmaNiMoTmaNiTmaNiMoNiTmaNiMoMoNiTmaTmaNiNiNi,[0.45922467 0.40441806 0.13635727]
26,1,900.8108108108108,NiNiMoNiNiTmaTmaNiNiTmaNiMoNiNiNiNiNiTmaMoTmaNiNiNiTmaNiNiNiTmaNiNiTmaMoNiNiNiNiTmaMoMoTmaTmaTmaTmaNiNiNiNiTmaMoNiTmaTmaTmaTmaTmaNiMoNiTmaNiNiNiTmaNiTmaTmaNiNiTmaTma,[0.49291637 0.3993617  0.10772194]
27,1,900.8108108108108,TmaMoTmaNiMoMoNiNiTmaNiNiNiTmaTmaNiNiTmaNiNiTmaTmaNiNiNiMoMoTmaNiTmaTmaMoMoNiNiNiMoNiTmaTmaNiNiNiMoNiNiTmaMoNiNiTmaMoTmaTmaMoNiNiNiNiNiTmaNiNiTmaTmaNiNiTmaTmaNiTma,[0.45675317 0.38049874 0.16274809]
28,1,900.8108108108108,TmaNiNiNiTmaTmaTmaTmaNiTmaNiTmaMoTmaMoNiNiTmaNiTmaNiNiNiTmaNiNiTmaTmaNiNiNiNiNiNiTmaTmaTmaTmaNiTmaTmaNiNiNiTmaTmaTmaNiTmaMoTmaTmaMoTmaTmaTmaTmaNiNiTmaMoNiTmaNiTmaTmaNiNiNiTma,[0.6251709  0.31204195 0.06278715]
29,1,900.8108108108108,TmaNiTmaNiTmaTmaTmaTmaNiTmaNiNiTmaNiTmaMoTmaTmaNiTmaMoTmaTmaTmaNiNiTmaTmaTmaTmaNiMoTmaTmaNiTmaNiMoTmaNiTmaTmaNiNiNiNiNiMoMoNiNiNiTmaMoNiNiNiTmaNiNiTmaNiNiNiNiTmaNiMoTmaMo,[0.56479222 0.31949245 0.11571533]
30,1,900.8108108108108,TmaTmaNiTmaNiNiTmaTmaTmaMoTmaMoNiMoNiTmaMoTmaNiNiTmaNiMoTmaTmaNiNiTmaTmaNiNiTmaTmaNiNiNiTmaNiTmaNiNiNiTmaMoNiNiNiTmaMoMoNiTmaTmaNiTmaNiTmaNiNiTmaTmaTmaTmaNiMoNiTmaTmaTmaNi,[0.57868809 0.30657417 0.11473774]
31,1,900.8108108108108,MoNiMoTmaNiMoTmaNiTmaMoMoMoTmaNiTmaTmaNiTmaMoNiTmaNiNiNiMoTmaTmaNiNiNiTmaTmaTmaNiMoNiNiMoMoNiTmaNiTmaTmaNiTmaMoNiTmaNiNiTmaTmaTmaTmaTmaNiTmaTmaTmaNiTmaTmaTmaNiNiNiNiNiNi,[0.5464396  0.2991394  0.15442099]
32,1,900.8108108108108,TmaNiTmaTmaNiTmaTmaTmaTmaMoNiTmaNiTmaNiTmaNiTmaNiTmaTmaMoMoNiTmaTmaTmaNiTmaTmaNiTmaTmaTmaTmaNiMoTmaNiTmaTmaTmaTmaTmaTmaTmaNiNiNiTmaTmaTmaTmaNiNiNiNiNiTmaTmaTmaNiTmaNiTmaNiNiTmaNiTma,[0.71406689 0.23835623 0.04757688]
33,1,900.8108108108108,MoNiTmaNiTmaMoNiNiTmaTmaNiTmaTmaTmaNiTmaTmaTmaTmaMoNiTmaTmaNiTmaTmaMoNiMoTmaNiNiTmaTmaNiNiNiNiNiMoTmaMoNiNiTmaMoTmaNiMoTmaMoTmaTmaTmaTmaNiTmaTmaNiMoTmaNiNiNiNiNiNiNiNiNi,[0.54783838 0.31024669 0.14191492]
34,1,900.8108108108108,NiTmaTmaTmaNiNiMoMoTmaNiNiTmaNiTmaNiNiNiTmaTmaTmaNiNiTmaNiTmaNiNiNiNiNiTmaNiTmaNiTmaNiTmaMoMoTmaTmaNiNiNiNiMoTmaNiTmaMoTmaTmaTmaTmaMoTmaTmaNiTmaTmaTmaNiNiTmaNiNiNiNiNiTma,[0.56768863 0.34184901 0.09046236]
35,1,900.8108108108108,MoNiNiNiNiMoTmaNiNiNiTmaNiNiNiTmaMoTmaTmaNiTmaTmaTmaTmaTmaTmaNiNiTmaTmaTmaNiTmaNiTmaNiTmaNiNiNiNiTmaMoNiMoTmaTmaMoTmaNiTmaNiMoTmaNiTmaTmaTmaNiTmaTmaNiTmaNiMoTmaNiTmaTmaNiNi,[0.59384067 0.30477032 0.10138901]
36,1,900.8108108108108,NiTmaNiTmaTmaTmaTmaNiNiNiNiTmaNiTmaNiTmaTmaNiNiNiTmaTmaTmaTmaTmaTmaMoNiTmaMoMoTmaNiTmaTmaNiTmaTmaTmaTmaNiTmaNiNiTmaNiNiTmaTmaTmaTmaNiTmaTmaTmaTmaTmaTmaTmaNiTmaMoTmaNiTmaNiTmaNiTmaMo,[0.71238568 0.22828324 0.05933108]
37,1,900.8108108108108,NiTmaTmaNiTmaNiNiTmaTmaMoTmaNiNiTmaTmaTmaMoMoTmaNiTmaNiTmaNiNiTmaMoNiTmaMoTmaMoNiNiTmaNiTmaTmaNiNiTmaTmaTmaNiTmaNiNiNiTmaTmaNiTmaTmaTmaTmaTmaTmaTmaTmaTmaNiNiTmaNiNiTmaTmaNiTmaNi,[0.66215291 0.2645159  0.07333119]
38,1,900.8108108108108,TmaTmaTmaTmaTmaNiNiMoNiMoTmaNiNiNiTmaTmaNiTmaNiTmaNiTmaTmaTmaTmaNiTmaTmaNiMoMoNiNiTmaTmaNiTmaNiTmaTmaNiTmaNiNiTmaTmaTmaTmaNiTmaTmaNiTmaTmaMoTmaNiMoTmaNiNiTmaNiTmaTmaNiNiNiNiTma,[0.64951742 0.27655262 0.07392996]
39,1,900.8108108108108,MoNiNiTmaTmaTmaNiNiMoNiTmaTmaTmaNiTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaMoNiTmaTmaTmaNiTmaNiMoMoNiNiNiTmaTmaTmaTmaTmaNiNiTmaTmaNiTmaTmaNiMoMoNiTmaTmaNiNiTmaTmaNiTmaTmaNiTmaTmaTmaTmaNiNi,[0.67296655 0.24237138 0.08466206]
40,1,900.8108108108108,NiTmaNiMoNiTmaTmaTmaMoNiNiTmaNiTmaMoTmaNiNiTmaTmaTmaNiNiNiMoTmaNiNiTmaTmaTmaNiTmaTmaNiNiTmaTmaMoNiNiMoTmaNiTmaNiTmaNiTmaTmaTmaNiNiTmaTmaTmaNiMoNiNiNiNiNiTmaNiMoNiTmaTmaMo,[0.56479222 0.31949245 0.11571533]
41,1,900.8108108108108,TmaNiNiTmaNiNiNiTmaTmaTmaNiTmaNiMoNiTmaTmaNiNiNiTmaTmaNiTmaTmaTmaTmaNiTmaNiTmaNiNiTmaTmaTmaNiMoMoMoTmaNiTmaTmaMoTmaTmaMoTmaNiNiNiTmaTmaMoTmaTmaNiTmaNiNiNiNiNiMoNiTmaNiTmaNi,[0.59384067 0.30477032 0.10138901]
42,1,900.8108108108108,MoTmaNiNiTmaTmaMoTmaTmaMoNiTmaNiNiNiNiNiTmaNiMoTmaNiTmaNiMoNiNiTmaTmaNiMoNiTmaTmaTmaTmaNiNiNiTmaTmaMoNiNiNiTmaMoNiNiTmaTmaTmaTmaTmaTmaMoTmaTmaNiTmaNiTmaNiNiNiMoTmaNiNiNi,[0.54924434 0.321411   0.12934466]
43,1,900.8108108108108,NiNiMoTmaTmaNiTmaTmaTmaNiTmaTmaMoTmaTmaNiNiTmaNiTmaNiTmaTmaTmaNiTmaTmaMoNiTmaMoNiTmaTmaTmaTmaNiNiMoTmaNiTmaTmaTmaNiNiNiNiNiTmaTmaTmaNiMoMoNiTmaMoTmaNiNiNiNiTmaTmaNiNiTmaTmaMo,[0.61900178 0.26909659 0.11190163]
44,1,900.8108108108108,TmaTmaTmaTmaNiTmaTmaNiNiTmaTmaTmaNiNiTmaNiTmaTmaNiMoMoNiNiMoNiTmaTmaMoTmaTmaNiNiTmaNiTmaTmaTmaMoNiTmaTmaMoNiTmaTmaNiMoMoNiTmaNiNiNiNiTmaTmaNiTmaTmaTmaNiNiTmaNiTmaTmaNiNiTmaTma,[0.63355059 0.26755217 0.09889724]
45,1,900.8108108108108,TmaNiNiNiNiNiMoNiTmaTmaTmaTmaTmaNiNiMoMoNiNiTmaTmaNiNiNiMoTmaNiNiNiNiNiNiTmaNiTmaTmaTmaNiNiNiMoTmaTmaNiTmaTmaTmaTmaTmaMoMoNiTmaTmaNiNiTmaNiTmaNiMoTmaNiNiNiTmaNiTmaNiNi,[0.52301584 0.37115095 0.10583322]
46,1,900.8108108108108,NiNiTmaMoTmaTmaTmaNiTmaTmaTmaTmaNiTmaTmaMoNiTmaNiNiTmaTmaNiMoNiMoTmaMoTmaNiTmaNiNiTmaTmaNiTmaTmaMoNiTmaNiTmaTmaNiTmaNiTmaNiTmaNiTmaTmaMoNiNiTmaTmaNiTmaTmaNiTmaNiTmaNiNiTmaNiNi,[0.6351084  0.27814374 0.08674786]
47,1,900.8108108108108,TmaTmaTmaMoNiNiTmaTmaNiNiNiNiNiTmaTmaNiTmaTmaTmaNiNiTmaNiTmaNiNiTmaMoNiTmaMoTmaNiTmaTmaNiTmaMoNiNiTmaTmaTmaNiNiTmaTmaNiNiNiTmaTmaTmaNiMoNiNiNiTmaTmaNiNiNiNiNiMoTmaNiTmaTma,[0.58311304 0.33981023 0.07707672]
48,1,900.8108108108108,TmaMoMoTmaNiNiTmaNiNiTmaNiMoNiTmaNiTmaTmaNiNiTmaTmaNiNiNiTmaNiTmaNiTmaTmaNiTmaMoNiTmaNiNiTmaTmaNiNiNiTmaNiTmaNiTmaTmaNiTmaTmaNiTmaTmaNiTmaNiMoNiTmaTmaNiTmaTmaMoNiTmaTmaTmaMo,[0.60881599 0.30298757 0.08819644]
49,1,900.8108108108108,TmaNiMoTmaTmaMoMoTmaNiNiTmaNiTmaNiTmaTmaNiTmaNiNiTmaNiNiTmaMoTmaNiTmaNiTmaTmaMoNiTmaNiNiNiTmaNiNiNiTmaNiTmaMoMoTmaNiTmaNiNiTmaTmaMoMoNiNiMoTmaTmaMoNiTmaTmaTmaTmaNiMoNiNi,[0.5464396  0.2991394  0.15442099]
50,1,900.8108108108108,TmaNiTmaTmaTmaMoNiTmaNiTmaTmaTmaNiMoNiNiNiTmaNiNiTmaNiNiNiTmaNiTmaNiNiNiTmaTmaTmaNiNiNiTmaTmaNiNiNiTmaMoTmaTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaNiNiTmaTmaNiTmaTmaMoTmaTmaTmaNiTmaTmaNi,[0.66537997 0.28549431 0.04912572]
51,1,900.8108108108108,NiNiTmaNiTmaTmaTmaTmaTmaTmaNiTmaTmaNiTmaTmaTmaNiTmaTmaTmaTmaTmaNiMoMoNiTmaNiNiMoTmaTmaNiTmaMoNiTmaNiTmaTmaTmaNiNiNiNiTmaTmaTmaMoMoTmaTmaTmaTmaTmaMoNiNiMoMoTmaNiTmaTmaTmaNiNiNiTma,[0.66975211 0.2219166  0.10833129]
52,1,900.8108108108108,TmaNiTmaTmaNiNiTmaTmaMoTmaNiTmaTmaMoNiNiTmaTmaTmaNiNiNiNiNiTmaNiTmaNiTmaTmaTmaNiNiTmaTmaMoNiMoTmaTmaNiNiTmaNiTmaNiTmaTmaNiNiTmaMoNiNiMoNiMoTmaNiTmaTmaTmaNiTmaNiTmaMoNiTmaNi,[0.59384067 0.30477032 0.10138901]
53,1,900.8108108108108,NiNiTmaTmaTmaTmaMoNiTmaTmaTmaNiNiNiNiTmaTmaTmaTmaNiNiTmaTmaNiTmaTmaNiTmaMoNiNiTmaTmaNiMoTmaTmaNiTmaNiNiTmaNiTmaTmaTmaNiTmaNiNiTmaTmaTmaNiTmaTmaNiMoNiTmaNiNiTmaTmaNiNiTmaTmaNiTma,[0.66537997 0.28549431 0.04912572]
54,1,900.8108108108108,NiTmaTmaTmaTmaTmaTmaTmaTmaNiTmaNiNiMoTmaTmaNiNiNiTmaMoNiTmaNiNiNiTmaTmaTmaTmaTmaNiNiTmaTmaTmaNiMoMoNiTmaTmaTmaMoTmaNiNiTmaMoNiTmaTmaNiNiMoTmaNiNiTmaMoTmaTmaTmaTmaNiTmaNiTmaTmaTma,[0.67135548 0.23211951 0.09652501]
55,1,900.8108108108108,NiTmaTmaMoMoTmaTmaTmaNiTmaNiTmaTmaMoTmaNiTmaNiMoTmaNiNiTmaTmaNiNiTmaMoTmaNiTmaTmaTmaNiTmaNiMoNiNiMoTmaNiNiTmaTmaNiTmaNiTmaTmaTmaMoTmaTmaTmaTmaNiTmaMoNiTmaNiMoNiNiTmaNiTmaNiNi,[0.61747847 0.25849236 0.12402917]
56,1,900.8108108108108,NiMoTmaMoTmaMoTmaTmaTmaNiNiTmaTmaNiTmaTmaTmaNiNiNiNiNiNiNiTmaTmaTmaTmaNiTmaNiTmaTmaTmaNiMoMoTmaTmaMoTmaNiTmaTmaNiNiNiTmaTmaTmaMoNiNiTmaNiNiTmaTmaNiTmaTmaTmaTmaTmaTmaTmaNiTmaTmaTma,[0.68518459 0.2308265  0.08398891]
57,1,900.8108108108108,TmaTmaTmaTmaNiMoNiTmaTmaTmaTmaTmaTmaTmaNiTmaTmaNiNiTmaNiTmaNiNiTmaNiNiNiNiMoTmaNiNiTmaMoMoTmaTmaNiNiNiMoTmaNiNiTmaTmaNiNiTmaTmaNiNiMoMoNiNiTmaNiTmaNiTmaNiTmaNiTmaNiTmaTmaNi,[0.59533772 0.31572325 0.08893903]
58,1,900.8108108108108,NiNiTmaMoTmaTmaNiTmaNiNiNiMoNiNiNiNiTmaNiMoTmaNiTmaNiNiMoMoNiNiTmaTmaNiTmaTmaTmaNiNiTmaNiTmaNiTmaNiNiTmaNiTmaTmaNiTmaTmaNiNiNiTmaTmaNiNiMoTmaTmaNiMoNiNiTmaNiNiNiNiMo,[0.49291637 0.3993617  0.10772194]
59,1,900.8108108108108,TmaNiTmaMoTmaTmaNiTmaNiNiTmaNiTmaNiMoTmaNiNiNiTmaMoNiTmaTmaTmaNiNiNiNiTmaNiTmaNiMoNiTmaNiNiNiTmaTmaNiNiNiNiMoNiNiNiMoNiNiTmaNiNiNiNiMoMoTmaNiNiNiTmaTmaTmaTmaTmaNiNi,[0.47746014 0.41384806 0.1086918 ]
60,1,900.8108108108108,NiNiMoTmaNiNiNiTmaNiMoTmaNiNiTmaMoTmaTmaNiMoTmaNiTmaMoTmaTmaTmaNiTmaTmaNiTmaNiNiNiTmaNiNiTmaTmaTmaTmaNiTmaNiNiMoTmaTmaNiNiTmaNiNiTmaTmaTmaNiTmaTmaTmaNiTmaTmaTmaTmaNiTmaNiTmaMo,[0.6351084  0.27814374 0.08674786]
61,1,900.8108108108108,TmaNiMoNiNiTmaTmaTmaTmaMoTmaMoNiNiNiTmaTmaNiNiNiNiTmaNiNiTmaNiNiTmaTmaNiTmaTmaNiNiNiNiNiNiTmaNiTmaMoNiTmaTmaTmaNiNiTmaNiTmaMoTmaTmaNiNiTmaMoTmaTmaNiTmaNiTmaTmaNiMoNiNiNi,[0.55350584 0.3552504  0.09124376]
62,1,900.8108108108108,TmaNiTmaTmaNiNiNiTmaTmaMoNiNiTmaNiNiNiNiTmaTmaTmaTmaNiTmaNiNiMoTmaNiMoNiNiTmaNiTmaNiTmaMoNiMoTmaTmaNiNiTmaTmaNiMoTmaMoTmaNiTmaNiNiNiTmaNiNiNiTmaTmaTmaTmaMoNiTmaNiTmaNiNi,[0.55207801 0.34391241 0.10400959]
63,1,900.8108108108108,TmaNiTmaNiNiTmaTmaNiNiTmaTmaNiNiTmaMoTmaTmaMoNiTmaTmaTmaTmaNiTmaTmaTmaNiMoNiNiTmaMoNiTmaMoNiNiNiNiMoMoNiTmaTmaTmaNiNiNiTmaNiTmaNiTmaNiMoMoNiTmaTmaMoNiNiMoMoNiNiNiNiTma,[0.51758156 0.32531807 0.15710037]
64,1,900.8108108108108,NiNiNiNiNiTmaMoNiNiTmaMoNiNiMoNiTmaNiNiTmaNiNiTmaTmaTmaNiTmaNiNiTmaTmaNiNiTmaTmaTmaTmaNiNiTmaMoTmaTmaNiNiNiNiTmaNiTmaTmaTmaTmaTmaNiTmaMoTmaNiTmaNiMoNiTmaTmaNiTmaNiTmaNiNi,[0.569148  0.3531135 0.0777385]
65,1,900.8108108108108,TmaTmaMoTmaTmaTmaTmaTmaTmaTmaNiMoMoTmaNiNiNiNiTmaNiNiNiTmaNiTmaNiNiNiTmaNiTmaNiNiTmaTmaTmaTmaNiNiTmaNiNiNiTmaTmaMoNiMoTmaTmaTmaMoTmaNiNiNiTmaTmaTmaNiNiNiNiTmaNiNiNiTmaTmaTma,[0.61034178 0.31387181 0.07578641]
66,1,900.8108108108108,NiTmaNiMoNiTmaTmaTmaTmaNiNiMoNiNiTmaMoNiNiNiMoTmaNiNiNiTmaTmaMoTmaMoTmaTmaTmaMoMoNiTmaTmaMoTmaTmaTmaTmaNiNiTmaTmaTmaNiTmaMoTmaTmaNiNiTmaTmaNiNiTmaTmaTmaMoTmaNiTmaNiTmaTmaNiMo,[0.61445425 0.2374397  0.14810605]
67,1,900.8108108108108,MoTmaTmaTmaTmaTmaNiNiMoTmaNiNiTmaMoTmaNiNiTmaTmaTmaTmaNiNiTmaTmaNiTmaMoTmaTmaNiNiTmaNiTmaNiMoTmaTmaTmaNiNiMoNiTmaTmaNiNiTmaTmaNiTmaTmaNiNiMoTmaTmaTmaNiTmaTmaTmaNiNiNiNiTmaMoNi,[0.63355059 0.26755217 0.09889724]
